BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:30,16:30,13:15,0,330,80.3,100
2,0:15,17:00,16:45,13:15,0,332,79.1,100
3,0:30,18:30,18:00,13:30,0,332,75.0,100
4,0:45,17:30,16:45,13:15,0,330,79.1,100
5,1:00,19:30,18:30,13:30,0,332,72.97,100
6,1:15,20:00,18:45,13:30,0,332,72.0,100
7,1:30,20:30,19:00,13:15,0,332,69.74,100
8,1:45,21:15,19:30,13:15,0,330,67.95,100
9,2:00,22:15,20:15,13:15,0,330,65.43,100
10,2:15,23:45,21:30,13:30,0,330,62.79,100
11,2:30,24:15,21:45,13:30,0,332,62.07,100
12,2:45,24:45,22:00,13:30,0,334,61.36,100
13,3:00,25:00,22:00,13:15,0,332,60.23,100
14,3:15,26:30,23:15,13:45,0,334,59.14,100
15,7:30,26:00,18:30,14:00,0,336,75.68,100
16,8:15,22:45,14:30,6:45,0,164,46.55,100
17,8:30,22:00,13:30,7:00,0,168,51.85,100
18,8:45,23:30,14:45,6:45,0,162,45.76,100
19,9:00,24:30,15:30,6:45,0,166,43.55,100
20,10:00,25:15,15:15,6:45,0,168,44.26,100
21,10:30,23:00,12:30,6:45,0,168,54.0,100
22,11:15,26:00,14:45,6:30,0,162,44.07,100
23,11:30,24:00,12:30,3:15,0,84,26.0,100
24,20:30,25:30,5:00,3:15,0,84,65.0,100
25,22:00,26:30,4:30,3:15,0,84,72.22,100
26,23:00,27:00,4:00,3:30,0,86,87.5,100
27,23:30,27:00,3:30,3:15,0,84,92.86,100
28,23:45,25:15,1:30,1:30,0,40,100.0,100
