BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,20:15,20:15,16:30,0,420,81.48,100
2,0:15,20:45,20:30,16:30,0,410,80.49,100
3,1:00,21:15,20:15,16:30,0,416,81.48,100
4,1:15,21:30,20:15,16:15,0,410,80.25,100
5,2:00,22:00,20:00,16:45,0,418,83.75,100
6,2:15,22:30,20:15,16:30,0,412,81.48,100
7,3:00,23:00,20:00,16:45,0,416,83.75,100
8,3:15,23:00,19:45,16:30,0,410,83.54,100
9,4:45,25:00,20:15,17:00,0,418,83.95,100
10,5:00,23:30,18:30,13:45,0,338,74.32,100
11,6:00,23:30,17:30,13:45,0,332,78.57,100
12,6:45,24:00,17:15,13:30,0,328,78.26,100
13,7:00,26:00,19:00,13:45,0,338,72.37,100
14,10:15,21:15,11:00,7:15,0,166,65.91,100
15,10:45,24:00,13:15,6:45,0,166,50.94,100
16,11:00,24:30,13:30,6:45,0,170,50.0,100
17,11:15,22:00,10:45,7:00,0,164,65.12,100
18,11:45,25:30,13:45,6:30,0,164,47.27,100
19,12:00,24:30,12:30,7:00,0,166,56.0,100
20,12:15,26:30,14:15,6:45,0,164,47.37,100
21,21:15,27:00,5:45,3:15,0,82,56.52,100
22,22:15,24:00,1:45,1:45,0,40,100.0,100
23,22:30,24:15,1:45,1:45,0,44,100.0,100
24,23:00,24:45,1:45,1:45,0,44,100.0,100
25,23:15,25:00,1:45,1:45,0,40,100.0,100
