BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:45,16:45,13:45,0,340,82.09,100
2,0:15,17:00,16:45,13:00,0,324,77.61,100
3,0:30,17:15,16:45,13:30,0,338,80.6,100
4,0:45,17:45,17:00,13:15,0,328,77.94,100
5,1:00,18:15,17:15,13:30,0,338,78.26,100
6,1:15,19:00,17:45,13:30,0,328,76.06,100
7,1:30,19:00,17:30,13:15,0,336,75.71,100
8,1:45,19:30,17:45,13:30,0,328,76.06,100
9,2:00,19:30,17:30,13:00,0,336,74.29,100
10,2:15,21:30,19:15,13:15,0,328,68.83,100
11,2:30,21:00,18:30,13:30,0,340,72.97,100
12,2:45,23:30,20:45,13:30,0,328,65.06,100
13,3:00,22:15,19:15,13:30,0,340,70.13,100
14,3:15,24:30,21:15,13:15,0,326,62.35,100
15,3:30,24:15,20:45,13:15,0,336,63.86,100
16,3:45,26:45,23:00,10:30,0,252,45.65,100
17,8:15,26:45,18:30,9:45,0,242,52.7,100
18,9:00,22:30,13:30,6:30,0,168,48.15,100
19,9:15,23:15,14:00,6:30,0,166,46.43,100
20,13:15,25:30,12:15,6:30,0,166,53.06,100
21,18:15,25:00,6:45,3:30,0,82,51.85,100
22,18:45,25:00,6:15,3:15,0,80,52.0,100
23,19:15,25:45,6:30,3:30,0,80,53.85,100
24,19:45,26:15,6:30,3:45,0,82,57.69,100
25,21:15,26:15,5:00,3:30,0,80,70.0,100
26,22:15,27:15,5:00,3:45,0,82,75.0,100
27,23:30,27:15,3:45,3:30,0,84,93.33,100
28,23:45,27:45,4:00,3:45,0,82,93.75,100
