BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:30,16:30,13:15,0,336,80.3,100
2,0:15,17:00,16:45,12:45,0,328,76.12,100
3,1:00,17:45,16:45,13:30,0,336,80.6,100
4,1:15,18:45,17:30,13:00,0,330,74.29,100
5,2:00,19:15,17:15,13:30,0,336,78.26,100
6,2:15,18:45,16:30,13:00,0,328,78.79,100
7,3:00,19:45,16:45,13:15,0,334,79.1,100
8,3:15,19:15,16:00,13:15,0,336,82.81,100
9,4:45,21:15,16:30,13:30,0,332,81.82,100
10,5:00,24:00,19:00,14:00,0,340,73.68,100
11,6:00,25:00,19:00,13:30,0,340,71.05,100
12,6:45,25:30,18:45,10:15,0,250,54.67,100
13,7:00,26:00,19:00,13:15,0,330,69.74,100
14,7:15,26:30,19:15,10:00,0,248,51.95,100
15,7:30,27:00,19:30,13:15,0,332,67.95,100
16,7:45,21:45,14:00,7:00,0,166,50.0,100
17,8:15,22:30,14:15,6:45,0,166,47.37,100
18,8:45,22:30,13:45,6:30,0,164,47.27,100
19,9:45,23:00,13:15,6:45,0,164,50.94,100
20,11:45,23:00,11:15,7:15,0,164,64.44,100
21,12:15,23:30,11:15,7:00,0,166,62.22,100
22,16:45,24:00,7:15,7:00,0,162,96.55,100
23,17:15,24:30,7:15,7:00,0,162,96.55,100
24,19:45,23:30,3:45,3:15,0,80,86.67,100
25,20:15,24:30,4:15,3:30,0,82,82.35,100
26,21:00,22:45,1:45,1:45,0,44,100.0,100
27,21:45,23:30,1:45,1:45,0,40,100.0,100
28,22:45,24:30,1:45,1:45,0,40,100.0,100
29,23:15,25:00,1:45,1:45,0,40,100.0,100
