BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,16:00,16:00,13:15,0,332,82.81,100
2,0:15,16:30,16:15,13:15,0,330,81.54,100
3,0:30,17:30,17:00,13:45,0,334,80.88,100
4,0:45,17:00,16:15,13:15,0,332,81.54,100
5,1:00,18:30,17:30,13:30,0,332,77.14,100
6,1:15,19:00,17:45,13:30,0,332,76.06,100
7,1:30,19:30,18:00,13:30,0,332,75.0,100
8,1:45,20:00,18:15,13:30,0,332,73.97,100
9,2:00,21:15,19:15,13:15,0,330,68.83,100
10,2:15,23:45,21:30,13:45,0,332,63.95,100
11,2:30,24:00,21:30,13:15,0,328,61.63,100
12,2:45,24:15,21:30,13:30,0,330,62.79,100
13,3:00,25:15,22:15,13:30,0,336,60.67,100
14,3:15,24:45,21:30,13:45,0,336,63.95,100
15,7:30,27:00,19:30,10:30,0,254,53.85,100
16,8:15,22:30,14:15,6:45,0,162,47.37,100
17,8:30,27:00,18:30,10:00,0,248,54.05,100
18,8:45,22:45,14:00,6:45,0,164,48.21,100
19,9:00,23:15,14:15,6:45,0,168,47.37,100
20,10:00,24:30,14:30,6:45,0,166,46.55,100
21,11:00,23:00,12:00,6:30,0,168,54.17,100
22,11:15,23:30,12:15,3:15,0,80,26.53,100
23,20:00,25:00,5:00,3:15,0,84,65.0,100
24,21:45,25:30,3:45,3:00,0,80,80.0,100
25,22:00,26:00,4:00,3:30,0,86,87.5,100
26,22:30,26:00,3:30,3:15,0,84,92.86,100
27,22:45,26:30,3:45,3:15,0,82,86.67,100
28,23:00,26:30,3:30,3:15,0,84,92.86,100
29,23:15,24:45,1:30,1:30,0,40,100.0,100
