BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,15:45,15:45,13:30,0,336,85.71,100
2,0:15,16:45,16:30,13:30,0,332,81.82,100
3,0:30,17:00,16:30,13:15,0,332,80.3,100
4,0:45,17:15,16:30,13:15,0,330,80.3,100
5,1:00,17:45,16:45,13:30,0,336,80.6,100
6,1:15,18:15,17:00,13:15,0,330,77.94,100
7,1:30,19:00,17:30,13:30,0,336,77.14,100
8,1:45,19:30,17:45,13:30,0,328,76.06,100
9,2:00,21:00,19:00,13:30,0,340,71.05,100
10,2:15,19:30,17:15,12:45,0,324,73.91,100
11,2:30,22:15,19:45,13:30,0,340,68.35,100
12,2:45,21:30,18:45,13:15,0,328,70.67,100
13,3:00,23:30,20:30,13:30,0,336,65.85,100
14,3:15,24:15,21:00,13:15,0,330,63.1,100
15,3:30,22:30,19:00,13:00,0,332,68.42,100
16,3:45,25:45,22:00,10:00,0,242,45.45,100
17,8:15,26:45,18:30,10:15,0,252,55.41,100
18,9:00,23:15,14:15,6:45,0,170,47.37,100
19,13:00,24:30,11:30,6:30,0,168,56.52,100
20,17:45,25:30,7:45,6:45,0,166,87.1,100
21,18:15,25:00,6:45,3:30,0,82,51.85,100
22,18:45,25:00,6:15,3:15,0,80,52.0,100
23,19:15,26:15,7:00,3:45,0,82,53.57,100
24,19:45,26:15,6:30,3:30,0,80,53.85,100
25,21:15,26:45,5:30,3:30,0,80,63.64,100
26,23:15,27:15,4:00,3:45,0,82,93.75,100
27,23:30,27:15,3:45,3:30,0,84,93.33,100
28,23:45,27:45,4:00,3:45,0,82,93.75,100
