BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,3:15,22:30,19:15,13:15,0,330,68.83,100
2,4:45,23:00,18:15,13:30,0,330,73.97,100
3,6:00,23:30,17:30,13:30,0,334,77.14,100
4,20:30,24:00,3:30,3:15,0,84,92.86,100
5,6:45,24:30,17:45,13:30,0,334,76.06,100
6,5:00,23:00,18:00,13:30,0,334,75.0,100
7,8:30,23:30,15:00,10:15,0,248,68.33,100
8,20:15,24:00,3:45,3:30,0,82,93.33,100
9,7:00,24:30,17:30,13:45,0,330,78.57,100
10,7:15,25:00,17:45,13:30,0,330,76.06,100
11,7:45,25:30,17:45,13:30,0,334,76.06,100
12,7:30,26:00,18:30,13:45,0,330,74.32,100
13,18:00,26:30,8:30,6:45,0,168,79.41,100
14,22:15,27:00,4:45,3:15,0,82,68.42,100
15,18:30,24:15,5:45,5:15,0,128,91.3,100
16,8:45,24:30,15:45,11:45,0,288,74.6,100
17,23:00,24:45,1:45,1:45,0,44,100.0,100
18,23:15,25:00,1:45,1:45,0,40,100.0,100
19,1:00,17:30,16:30,13:15,0,336,80.3,100
20,0:15,18:15,18:00,13:00,0,328,72.22,100
21,0:00,17:45,17:45,13:30,0,336,76.06,100
22,1:15,18:45,17:30,13:00,0,328,74.29,100
23,2:00,20:15,18:15,13:45,0,338,75.34,100
24,2:15,20:15,18:00,13:00,0,326,72.22,100
25,3:00,22:00,19:00,13:30,0,334,71.05,100
