BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,2:00,24:30,22:30,10:00,0,252,44.44,100
2,2:30,25:00,22:30,10:00,0,252,44.44,100
3,1:45,24:15,22:30,10:30,0,246,46.67,100
4,2:15,25:00,22:45,10:15,0,246,45.05,100
5,2:45,25:30,22:45,10:15,0,246,45.05,100
6,3:00,25:45,22:45,10:15,0,248,45.05,100
7,0:00,22:45,22:45,12:00,0,296,52.75,100
8,0:15,23:45,23:30,12:15,0,292,52.13,100
9,0:30,24:00,23:30,12:15,0,290,52.13,100
10,0:45,24:45,24:00,12:15,0,292,51.04,100
11,1:00,25:00,24:00,12:15,0,290,51.04,100
12,1:30,25:15,23:45,12:00,0,296,50.53,100
13,1:15,25:30,24:15,12:15,0,286,50.52,100
14,3:15,13:00,9:45,6:45,0,164,69.23,100
15,3:30,13:30,10:00,6:45,0,168,67.5,100
16,3:45,13:45,10:00,6:30,0,164,65.0,100
17,9:00,17:30,8:30,6:30,0,168,76.47,100
18,10:00,18:00,8:00,6:30,0,168,81.25,100
19,11:00,18:30,7:30,6:30,0,168,86.67,100
20,12:00,19:00,7:00,6:30,0,168,92.86,100
21,12:30,19:30,7:00,6:30,0,168,92.86,100
22,13:00,20:00,7:00,6:30,0,168,92.86,100
23,13:30,20:30,7:00,6:30,0,168,92.86,100
24,13:45,21:00,7:15,6:30,0,164,89.66,100
25,13:15,20:30,7:15,6:15,0,164,86.21,100
26,12:45,20:00,7:15,6:15,0,164,86.21,100
27,12:15,19:30,7:15,6:15,0,164,86.21,100
28,11:15,19:00,7:45,6:15,0,164,80.65,100
29,10:15,18:15,8:00,6:00,0,164,75.0,100
30,9:15,17:45,8:30,6:00,0,164,70.59,100
