BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,2:15,24:00,21:45,10:15,0,248,47.13,100
2,2:00,24:30,22:30,10:30,0,252,46.67,100
3,2:30,25:00,22:30,10:30,0,252,46.67,100
4,2:45,24:15,21:30,10:00,0,246,46.51,100
5,3:15,24:45,21:30,10:00,0,246,46.51,100
6,3:00,25:15,22:15,10:15,0,250,46.07,100
7,1:45,25:30,23:45,13:00,0,328,54.74,100
8,0:15,23:45,23:30,11:45,0,294,50.0,100
9,0:00,23:45,23:45,11:30,0,288,48.42,100
10,0:30,24:15,23:45,12:00,0,294,50.53,100
11,0:45,24:15,23:30,11:30,0,288,48.94,100
12,1:00,24:45,23:45,12:00,0,294,50.53,100
13,1:15,24:45,23:30,11:30,0,288,48.94,100
14,1:30,25:15,23:45,12:00,0,294,50.53,100
15,11:30,15:00,3:30,3:15,0,84,92.86,100
16,12:00,21:30,9:30,6:30,0,168,68.42,100
17,11:00,21:00,10:00,6:30,0,168,65.0,100
18,10:30,20:30,10:00,6:45,0,168,67.5,100
19,10:00,19:30,9:30,6:45,0,168,71.05,100
20,9:30,18:30,9:00,6:45,0,168,75.0,100
21,9:00,17:30,8:30,6:45,0,168,79.41,100
22,8:30,16:30,8:00,7:00,0,168,87.5,100
23,11:45,21:45,10:00,6:30,0,164,65.0,100
24,11:15,21:15,10:00,6:30,0,164,65.0,100
25,10:45,20:45,10:00,6:30,0,164,65.0,100
26,10:15,20:00,9:45,6:45,0,164,69.23,100
27,9:45,19:00,9:15,6:45,0,164,72.97,100
28,9:15,18:00,8:45,6:45,0,164,77.14,100
29,8:45,17:00,8:15,7:00,0,164,84.85,100
30,12:15,16:00,3:45,3:15,0,82,86.67,100
