BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,0:00,15:45,15:45,13:30,0,336,85.71,100
2,0:15,16:45,16:30,13:30,0,332,81.82,100
3,0:30,17:00,16:30,13:15,0,332,80.3,100
4,0:45,19:30,18:45,13:30,0,328,72.0,100
5,1:00,17:15,16:15,13:30,0,338,83.08,100
6,1:15,19:30,18:15,13:15,0,328,72.6,100
7,1:30,17:45,16:15,13:15,0,336,81.54,100
8,1:45,18:15,16:30,13:15,0,330,80.3,100
9,2:00,21:30,19:30,13:15,0,336,67.95,100
10,2:15,22:15,20:00,13:30,0,332,67.5,100
11,2:30,20:00,17:30,13:15,0,336,75.71,100
12,2:45,23:30,20:45,13:00,0,326,62.65,100
13,3:00,21:00,18:00,13:30,0,340,75.0,100
14,3:15,22:30,19:15,13:30,0,330,70.13,100
15,3:30,26:45,23:15,13:45,0,330,59.14,100
16,3:45,24:30,20:45,9:30,0,246,45.78,100
17,8:15,25:45,17:30,10:00,0,246,57.14,100
18,9:00,24:15,15:15,6:45,0,170,44.26,100
19,12:15,25:30,13:15,6:30,0,166,49.06,100
20,17:15,26:45,9:30,7:00,0,166,73.68,100
21,17:45,27:15,9:30,7:00,0,166,73.68,100
22,18:15,25:00,6:45,3:30,0,82,51.85,100
23,19:30,25:00,5:30,3:15,0,84,59.09,100
24,19:45,26:15,6:30,3:45,0,82,57.69,100
25,20:15,26:15,6:00,3:30,0,80,58.33,100
26,21:15,27:15,6:00,3:30,0,80,58.33,100
27,23:45,27:45,4:00,3:45,0,82,93.75,100
