BusNum,start_time,end_time,total_hours,running_hours,dead_km,distance travelled,vehicle_efficiency(t),vehicle_efficiency(d)
1,2:15,23:00,20:45,13:00,0,326,62.65,100
2,0:15,23:30,23:15,16:15,0,412,69.89,100
3,5:00,24:00,19:00,13:15,0,334,69.74,100
4,8:45,24:30,15:45,9:45,0,250,61.9,100
5,8:30,23:30,15:00,10:15,0,248,68.33,100
6,4:45,24:00,19:15,13:45,0,330,71.43,100
7,7:00,24:30,17:30,13:45,0,332,78.57,100
8,6:45,25:00,18:15,13:30,0,330,73.97,100
9,1:15,23:15,22:00,15:00,0,376,68.18,100
10,7:30,23:30,16:00,12:15,0,288,76.56,100
11,18:00,23:45,5:45,5:15,0,128,91.3,100
12,6:00,24:00,18:00,12:00,0,288,66.67,100
13,3:15,24:15,21:00,15:15,0,380,72.62,100
14,0:00,24:30,24:30,18:30,0,458,75.51,100
15,2:00,24:45,22:45,15:15,0,380,67.03,100
16,19:15,25:00,5:45,5:15,0,122,91.3,100
17,9:00,17:45,8:45,7:00,0,166,80.0,100
18,3:00,20:15,17:15,13:15,0,330,76.81,100
19,7:15,22:00,14:45,10:00,0,250,67.8,100
20,1:00,18:45,17:45,13:30,0,336,76.06,100
21,7:45,22:00,14:15,10:15,0,248,71.93,100
