trips,traveltime,waittime,total_time,starttime,dir,startpos
AJ_UP_0,85,20,105,0,UP,J
AJ_DN_0,75,15,90,0,DN,A
AK_UP_15,70,20,90,15,UP,K
AK_DN_30,80,10,90,30,DN,A
AJ_UP_60,85,20,105,60,UP,J
AJ_DN_60,75,15,90,60,DN,A
AK_UP_75,70,20,90,75,UP,K
AK_DN_90,80,10,90,90,DN,A
AJ_UP_120,85,20,105,120,UP,J
AJ_DN_120,75,15,90,120,DN,A
AK_UP_135,70,20,90,135,UP,K
AK_DN_150,80,10,90,150,DN,A
AJ_UP_180,85,20,105,180,UP,J
AJ_DN_180,75,15,90,180,DN,A
AK_UP_195,70,20,90,195,UP,K
AK_DN_210,80,10,90,210,DN,A
AJ_UP_240,85,20,105,240,UP,J
AJ_DN_240,75,15,90,240,DN,A
AK_UP_255,70,20,90,255,UP,K
AK_DN_255,80,10,90,255,DN,A
AJ_UP_270,85,20,105,270,UP,J
AJ_DN_270,75,15,90,270,DN,A
AK_UP_285,70,20,90,285,UP,K
AK_DN_285,80,10,90,285,DN,A
AJ_UP_300,85,20,105,300,UP,J
AJ_DN_300,75,15,90,300,DN,A
AK_UP_315,70,20,90,315,UP,K
AK_DN_315,80,10,90,315,DN,A
AJ_UP_330,85,20,105,330,UP,J
AJ_DN_330,75,15,90,330,DN,A
AK_UP_345,70,20,90,345,UP,K
AK_DN_345,80,10,90,345,DN,A
AJ_UP_360,85,20,105,360,UP,J
AJ_DN_360,75,15,90,360,DN,A
AK_UP_375,70,20,90,375,UP,K
AK_DN_375,80,10,90,375,DN,A
AJ_UP_390,85,20,105,390,UP,J
AJ_DN_390,75,15,90,390,DN,A
AK_UP_405,70,20,90,405,UP,K
AK_DN_405,80,10,90,405,DN,A
AJ_UP_420,85,20,105,420,UP,J
AJ_DN_420,75,15,90,420,DN,A
AK_UP_435,75,15,90,435,UP,K
AK_DN_435,80,10,90,435,DN,A
AJ_UP_450,85,20,105,450,UP,J
AJ_DN_450,75,15,90,450,DN,A
AK_UP_465,75,15,90,465,UP,K
AK_DN_465,80,10,90,465,DN,A
AJ_UP_480,85,20,105,480,UP,J
AJ_DN_480,75,15,90,480,DN,A
AK_UP_495,75,15,90,495,UP,K
AK_DN_495,80,10,90,495,DN,A
AJ_UP_510,85,20,105,510,UP,J
AJ_DN_510,75,15,90,510,DN,A
AK_UP_525,75,15,90,525,UP,K
AK_DN_525,80,10,90,525,DN,A
AJ_UP_540,85,20,105,540,UP,J
AJ_DN_540,75,15,90,540,DN,A
AK_UP_555,80,25,105,555,UP,K
AK_DN_555,90,15,105,555,DN,A
AJ_UP_570,85,20,105,570,UP,J
AJ_DN_570,75,15,90,570,DN,A
AK_UP_585,80,25,105,585,UP,K
AK_DN_585,90,15,105,585,DN,A
AJ_UP_600,85,20,105,600,UP,J
AJ_DN_600,75,15,90,600,DN,A
AK_UP_615,80,25,105,615,UP,K
AK_DN_615,90,15,105,615,DN,A
AJ_UP_630,85,20,105,630,UP,J
AJ_DN_630,75,15,90,630,DN,A
AK_UP_645,80,25,105,645,UP,K
AK_DN_645,90,15,105,645,DN,A
AJ_UP_660,85,20,105,660,UP,J
AJ_DN_660,75,15,90,660,DN,A
AK_UP_675,80,25,105,675,UP,K
AK_DN_675,90,15,105,675,DN,A
AJ_UP_690,85,20,105,690,UP,J
AJ_DN_690,75,15,90,690,DN,A
AK_UP_705,80,25,105,705,UP,K
AK_DN_705,90,15,105,705,DN,A
AJ_UP_720,85,20,105,720,UP,J
AJ_DN_720,75,15,90,720,DN,A
AK_UP_735,80,25,105,735,UP,K
AK_DN_750,90,15,105,750,DN,A
AJ_UP_780,85,20,105,780,UP,J
AJ_DN_780,75,15,90,780,DN,A
AK_UP_795,80,25,105,795,UP,K
AK_DN_810,85,20,105,810,DN,A
AJ_UP_840,85,20,105,840,UP,J
AJ_DN_840,75,15,90,840,DN,A
AK_UP_855,80,25,105,855,UP,K
AK_DN_870,85,20,105,870,DN,A
AJ_UP_900,85,20,105,900,UP,J
AJ_DN_900,75,15,90,900,DN,A
AK_UP_915,80,25,105,915,UP,K
AK_DN_915,85,20,105,915,DN,A
AJ_UP_930,85,20,105,930,UP,J
AJ_DN_930,75,15,90,930,DN,A
AK_UP_945,80,25,105,945,UP,K
AK_DN_945,85,20,105,945,DN,A
AJ_UP_960,100,20,120,960,UP,J
