,trips,traveltime,waittime,total_time,starttime,dir,startpos
56,AJ_UP_0,85,20,105,0,UP,J
58,AK_UP_15,80,25,105,15,UP,K
60,AJ_UP_30,85,20,105,30,UP,J
62,AK_UP_45,80,25,105,45,UP,K
64,AJ_UP_60,85,20,105,60,UP,J
66,AK_UP_75,80,25,105,75,UP,K
68,AJ_UP_90,85,20,105,90,UP,J
70,AK_UP_105,80,25,105,105,UP,K
71,AK_DN_105,90,15,105,105,DN,A
72,AJ_UP_120,85,20,105,120,UP,J
73,AJ_DN_120,75,15,90,120,DN,A
75,AK_DN_135,90,15,105,135,DN,A
74,AK_UP_135,80,25,105,135,UP,K
77,AJ_DN_150,75,15,90,150,DN,A
76,AJ_UP_150,85,20,105,150,UP,J
79,AK_DN_165,90,15,105,165,DN,A
78,AK_UP_165,80,25,105,165,UP,K
80,AJ_UP_180,85,20,105,180,UP,J
81,AJ_DN_180,75,15,90,180,DN,A
82,AK_UP_195,80,25,105,195,UP,K
83,AK_DN_210,90,15,105,210,DN,A
84,AJ_UP_240,85,20,105,240,UP,J
85,AJ_DN_240,75,15,90,240,DN,A
86,AK_UP_255,80,25,105,255,UP,K
87,AK_DN_270,85,20,105,270,DN,A
89,AJ_DN_300,75,15,90,300,DN,A
88,AJ_UP_300,85,20,105,300,UP,J
90,AK_UP_315,80,25,105,315,UP,K
91,AK_DN_330,85,20,105,330,DN,A
92,AJ_UP_360,85,20,105,360,UP,J
93,AJ_DN_360,75,15,90,360,DN,A
94,AK_UP_375,80,25,105,375,UP,K
95,AK_DN_375,85,20,105,375,DN,A
96,AJ_UP_390,85,20,105,390,UP,J
97,AJ_DN_390,75,15,90,390,DN,A
98,AK_UP_405,80,25,105,405,UP,K
99,AK_DN_405,85,20,105,405,DN,A
101,AJ_DN_420,85,20,105,420,DN,A
100,AJ_UP_420,100,20,120,420,UP,J
103,AK_DN_435,105,15,120,435,DN,A
102,AK_UP_435,85,20,105,435,UP,K
105,AJ_DN_450,85,20,105,450,DN,A
104,AJ_UP_450,100,20,120,450,UP,J
107,AK_DN_465,105,15,120,465,DN,A
106,AK_UP_465,85,20,105,465,UP,K
109,AJ_DN_480,85,20,105,480,DN,A
108,AJ_UP_480,100,20,120,480,UP,J
111,AK_DN_495,105,15,120,495,DN,A
110,AK_UP_495,85,20,105,495,UP,K
112,AJ_UP_510,100,20,120,510,UP,J
113,AJ_DN_510,85,20,105,510,DN,A
114,AK_UP_525,85,20,105,525,UP,K
115,AK_DN_525,105,15,120,525,DN,A
117,AJ_DN_540,85,20,105,540,DN,A
116,AJ_UP_540,100,20,120,540,UP,J
118,AK_UP_555,85,20,105,555,UP,K
119,AK_DN_555,105,15,120,555,DN,A
120,AJ_UP_570,100,20,120,570,UP,J
121,AJ_DN_570,85,20,105,570,DN,A
123,AK_DN_585,105,15,120,585,DN,A
122,AK_UP_585,85,20,105,585,UP,K
124,AJ_UP_600,100,20,120,600,UP,J
125,AJ_DN_600,85,20,105,600,DN,A
126,AK_UP_615,85,20,105,615,UP,K
127,AK_DN_615,105,15,120,615,DN,A
128,AJ_UP_630,100,20,120,630,UP,J
129,AJ_DN_630,85,20,105,630,DN,A
130,AK_UP_645,85,20,105,645,UP,K
131,AK_DN_645,105,15,120,645,DN,A
133,AJ_DN_660,80,10,90,660,DN,A
132,AJ_UP_660,90,15,105,660,UP,J
135,AK_DN_675,85,20,105,675,DN,A
134,AK_UP_675,85,20,105,675,UP,K
136,AJ_UP_690,90,15,105,690,UP,J
137,AJ_DN_690,80,10,90,690,DN,A
138,AK_UP_705,85,20,105,705,UP,K
139,AK_DN_705,85,20,105,705,DN,A
140,AJ_UP_720,90,15,105,720,UP,J
141,AJ_DN_720,80,10,90,720,DN,A
142,AK_UP_735,85,20,105,735,UP,K
143,AK_DN_735,85,20,105,735,DN,A
144,AJ_UP_750,90,15,105,750,UP,J
145,AJ_DN_750,80,10,90,750,DN,A
146,AK_UP_765,85,20,105,765,UP,K
147,AK_DN_765,85,20,105,765,DN,A
148,AJ_UP_780,90,15,105,780,UP,J
149,AJ_DN_780,80,10,90,780,DN,A
150,AK_UP_795,85,20,105,795,UP,K
151,AK_DN_795,85,20,105,795,DN,A
152,AJ_UP_810,90,15,105,810,UP,J
153,AJ_DN_810,80,10,90,810,DN,A
154,AK_UP_825,85,20,105,825,UP,K
155,AK_DN_825,85,20,105,825,DN,A
156,AJ_UP_840,90,15,105,840,UP,J
157,AJ_DN_840,70,20,90,840,DN,A
158,AK_UP_855,80,25,105,855,UP,K
159,AK_DN_870,80,10,90,870,DN,A
0,AJ_UP_900,85,20,105,900,UP,J
1,AJ_DN_900,75,15,90,900,DN,A
