TravelTime_AK_UP,WaitTime_AK_UP,TravelTime_AK_DN,WaitTime_AK_DN,TravelTime_AJ_UP,WaitTime_AJ_UP,TravelTime_AJ_DN,WaitTime_AJ_DN
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
70,20,80,10,85,20,75,15
75,15,80,10,85,20,75,15
75,15,80,10,85,20,75,15
80,25,90,15,85,20,75,15
80,25,90,15,85,20,75,15
80,25,90,15,85,20,75,15
80,25,90,15,85,20,75,15
80,25,85,20,85,20,75,15
80,25,85,20,85,20,75,15
80,25,85,20,85,20,75,15
85,20,105,15,100,20,85,20
85,20,105,15,100,20,85,20
85,20,105,15,100,20,85,20
85,20,105,15,100,20,85,20
85,20,85,20,90,15,80,10
85,20,85,20,90,15,80,10
85,20,85,20,90,15,80,10
80,25,80,10,90,15,70,20
